# ell TT TE EE BB
213 7.669648e-01 3.958323e-04 1.034181e-04 2.220574e-06
214 7.603817e-01 5.937994e-04 1.043175e-04 2.222580e-06
215 7.538056e-01 7.900640e-04 1.053729e-04 2.224536e-06
216 7.472370e-01 9.845678e-04 1.065845e-04 2.226438e-06
217 7.406763e-01 1.177252e-03 1.079530e-04 2.228287e-06
218 7.341241e-01 1.368059e-03 1.094786e-04 2.230081e-06
219 7.275808e-01 1.556930e-03 1.111620e-04 2.231819e-06
220 7.210469e-01 1.743807e-03 1.130034e-04 2.233499e-06
221 7.145228e-01 1.928630e-03 1.150034e-04 2.235120e-06
222 7.080091e-01 2.111343e-03 1.171623e-04 2.236680e-06
223 7.015063e-01 2.291886e-03 1.194808e-04 2.238179e-06
224 6.950147e-01 2.470205e-03 1.219588e-04 2.239616e-06
225 6.885351e-01 2.646268e-03 1.245951e-04 2.240989e-06
226 6.820680e-01 2.820044e-03 1.273882e-04 2.242298e-06
227 6.756139e-01 2.991504e-03 1.303366e-04 2.243542e-06
228 6.691735e-01 3.160620e-03 1.334386e-04 2.244721e-06
229 6.627473e-01 3.327361e-03 1.366927e-04 2.245834e-06
230 6.563359e-01 3.491698e-03 1.400973e-04 2.246881e-06
231 6.499399e-01 3.653603e-03 1.436509e-04 2.247861e-06
232 6.435599e-01 3.813047e-03 1.473520e-04 2.248773e-06
233 6.371965e-01 3.969998e-03 1.511989e-04 2.249617e-06
234 6.308503e-01 4.124430e-03 1.551901e-04 2.250392e-06
235 6.245217e-01 4.276312e-03 1.593241e-04 2.251097e-06
236 6.182115e-01 4.425615e-03 1.635992e-04 2.251733e-06
237 6.119202e-01 4.572310e-03 1.680140e-04 2.252298e-06
238 6.056484e-01 4.716368e-03 1.725668e-04 2.252792e-06
239 5.993967e-01 4.857759e-03 1.772562e-04 2.253214e-06
240 5.931656e-01 4.996454e-03 1.820804e-04 2.253563e-06
241 5.869558e-01 5.132424e-03 1.870381e-04 2.253840e-06
242 5.807678e-01 5.265640e-03 1.921276e-04 2.254042e-06
243 5.746022e-01 5.396072e-03 1.973474e-04 2.254171e-06
244 5.684596e-01 5.523692e-03 2.026959e-04 2.254225e-06
245 5.623406e-01 5.648470e-03 2.081715e-04 2.254203e-06
246 5.562458e-01 5.770376e-03 2.137727e-04 2.254106e-06
247 5.501757e-01 5.889382e-03 2.194980e-04 2.253931e-06
248 5.441309e-01 6.005458e-03 2.253457e-04 2.253680e-06
249 5.381121e-01 6.118575e-03 2.313143e-04 2.253351e-06
250 5.321197e-01 6.228709e-03 2.374020e-04 2.252943e-06
251 5.261543e-01 6.335858e-03 2.436060e-04 2.252457e-06
252 5.202163e-01 6.440024e-03 2.499231e-04 2.251894e-06
253 5.143062e-01 6.541211e-03 2.563501e-04 2.251252e-06
254 5.084244e-01 6.639421e-03 2.628840e-04 2.250534e-06
255 5.025715e-01 6.734657e-03 2.695217e-04 2.249738e-06
256 4.967478e-01 6.826922e-03 2.762600e-04 2.248865e-06
257 4.909538e-01 6.916218e-03 2.830958e-04 2.247915e-06
258 4.851901e-01 7.002549e-03 2.900260e-04 2.246889e-06
259 4.794569e-01 7.085918e-03 2.970474e-04 2.245787e-06
260 4.737549e-01 7.166327e-03 3.041570e-04 2.244609e-06
261 4.680845e-01 7.243779e-03 3.113515e-04 2.243356e-06
262 4.624461e-01 7.318277e-03 3.186280e-04 2.242026e-06
263 4.568402e-01 7.389825e-03 3.259832e-04 2.240622e-06
264 4.512673e-01 7.458423e-03 3.334141e-04 2.239143e-06
265 4.457278e-01 7.524077e-03 3.409176e-04 2.237589e-06
266 4.402221e-01 7.586787e-03 3.484904e-04 2.235960e-06
267 4.347508e-01 7.646559e-03 3.561295e-04 2.234258e-06
268 4.293143e-01 7.703393e-03 3.638318e-04 2.232481e-06
269 4.239131e-01 7.757293e-03 3.715941e-04 2.230631e-06
270 4.185476e-01 7.808262e-03 3.794133e-04 2.228707e-06
271 4.132183e-01 7.856303e-03 3.872864e-04 2.226711e-06
272 4.079257e-01 7.901418e-03 3.952101e-04 2.224641e-06
273 4.026701e-01 7.943610e-03 4.031813e-04 2.222498e-06
274 3.974521e-01 7.982883e-03 4.111970e-04 2.220283e-06
275 3.922722e-01 8.019239e-03 4.192541e-04 2.217996e-06
276 3.871307e-01 8.052681e-03 4.273493e-04 2.215637e-06
277 3.820283e-01 8.083212e-03 4.354795e-04 2.213206e-06
278 3.769652e-01 8.110834e-03 4.436417e-04 2.210704e-06
279 3.719419e-01 8.135556e-03 4.518327e-04 2.208131e-06
280 3.669587e-01 8.157402e-03 4.600491e-04 2.205487e-06
281 3.620158e-01 8.176402e-03 4.682873e-04 2.202775e-06
282 3.571132e-01 8.192586e-03 4.765439e-04 2.199994e-06
283 3.522512e-01 8.205985e-03 4.848155e-04 2.197146e-06
284 3.474300e-01 8.216627e-03 4.930986e-04 2.194232e-06
285 3.426497e-01 8.224544e-03 5.013897e-04 2.191253e-06
286 3.379104e-01 8.229764e-03 5.096853e-04 2.188210e-06
287 3.332125e-01 8.232318e-03 5.179819e-04 2.185104e-06
288 3.285560e-01 8.232236e-03 5.262762e-04 2.181936e-06
289 3.239411e-01 8.229547e-03 5.345646e-04 2.178707e-06
290 3.193680e-01 8.224282e-03 5.428436e-04 2.175418e-06
291 3.148369e-01 8.216470e-03 5.511098e-04 2.172070e-06
292 3.103479e-01 8.206141e-03 5.593597e-04 2.168665e-06
293 3.059012e-01 8.193325e-03 5.675899e-04 2.165202e-06
294 3.014971e-01 8.178053e-03 5.757969e-04 2.161684e-06
295 2.971355e-01 8.160353e-03 5.839771e-04 2.158111e-06
296 2.928169e-01 8.140257e-03 5.921272e-04 2.154484e-06
297 2.885412e-01 8.117793e-03 6.002437e-04 2.150804e-06
298 2.843087e-01 8.092992e-03 6.083230e-04 2.147073e-06
299 2.801196e-01 8.065883e-03 6.163618e-04 2.143291e-06
300 2.759740e-01 8.036497e-03 6.243565e-04 2.139459e-06
301 2.718721e-01 8.004863e-03 6.323037e-04 2.135579e-06
302 2.678141e-01 7.971012e-03 6.401999e-04 2.131651e-06
303 2.638002e-01 7.934973e-03 6.480416e-04 2.127677e-06
304 2.598305e-01 7.896776e-03 6.558255e-04 2.123657e-06
305 2.559051e-01 7.856451e-03 6.635479e-04 2.119592e-06
306 2.520244e-01 7.814027e-03 6.712054e-04 2.115484e-06
307 2.481884e-01 7.769536e-03 6.787947e-04 2.111333e-06
308 2.443974e-01 7.723007e-03 6.863121e-04 2.107141e-06
309 2.406514e-01 7.674469e-03 6.937542e-04 2.102909e-06
